"2019-04-30 01:22:16 [restartedMain] INFO  com.example.jwt.demo.DemoApplication - Starting DemoApplication on DESKTOP-SCSK80E with PID 38384 (F:\Uziya\Wikunamu_backend\rest-api-jwt\target\classes started by Sameera in F:\Uziya\Wikunamu_backend\rest-api-jwt)
""2019-04-30 01:22:16 [restartedMain] INFO  com.example.jwt.demo.DemoApplication - No active profile set, falling back to default profiles: default
""2019-04-30 01:22:16 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2019-04-30 01:22:16 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2019-04-30 01:22:18 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
""2019-04-30 01:22:18 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 122ms. Found 2 repository interfaces.
""2019-04-30 01:22:18 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$272c5d6c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2019-04-30 01:22:19 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2019-04-30 01:22:19 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2019-04-30 01:22:19 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
""2019-04-30 01:22:19 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk-10.0.2\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\apache-maven-3.5.4-bin\apache-maven-3.5.4\bin;C:\Program Files\Java\jdk-10.0.2;C:\Program Files\nodejs\;C:\Program Files\Git\cmd;C:\Program Files\Git\mingw64\bin;C:\Program Files\Git\usr\bin;C:\Program Files (x86)\Yarn\bin\;C:\Program Files\Amazon\AWSCLI\;C:\Users\Sameera\AppData\Local\Microsoft\WindowsApps;C:\Users\Sameera\AppData\Local\Google\Cloud SDK\google-cloud-sdk\bin;C:\Users\Sameera\AppData\Roaming\npm;C:\Users\Sameera\AppData\Local\Programs\Microsoft VS Code\bin;C:\Users\Sameera\AppData\Local\Yarn\bin;C:\xampp\mysql\bin;C:\Program Files\JetBrains\WebStorm 2018.3\bin;C:\Program Files\JetBrains\IntelliJ IDEA 2018.3.2\bin;.]
""2019-04-30 01:22:19 [restartedMain] INFO  o.a.c.c.C.[.[.[/api/wikunamu] - Initializing Spring embedded WebApplicationContext
""2019-04-30 01:22:19 [restartedMain] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2936 ms
""2019-04-30 01:22:20 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2019-04-30 01:22:20 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2019-04-30 01:22:20 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2019-04-30 01:22:20 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.7.Final}
""2019-04-30 01:22:20 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
""2019-04-30 01:22:20 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
""2019-04-30 01:22:21 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
""2019-04-30 01:22:22 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2019-04-30 01:22:22 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2019-04-30 01:22:23 [restartedMain] INFO  o.h.h.i.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
""2019-04-30 01:22:23 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@49df9b53, org.springframework.security.web.context.SecurityContextPersistenceFilter@6ef7a295, org.springframework.security.web.header.HeaderWriterFilter@1bde164a, com.example.jwt.demo.jwt.JwtTokenAuthenticationFilter@590c281a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7f9cd929, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6e238688, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@44c71316, org.springframework.security.web.session.SessionManagementFilter@44b58502, org.springframework.security.web.access.ExceptionTranslationFilter@58072503, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4f641e41]
""2019-04-30 01:22:23 [restartedMain] INFO  o.s.s.p.JdbcUserDetailsManager - No authentication manager set. Reauthentication of users when changing passwords will not be performed.
""2019-04-30 01:22:23 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2019-04-30 01:22:23 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2019-04-30 01:22:23 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/api/wikunamu'
""2019-04-30 01:22:23 [restartedMain] INFO  com.example.jwt.demo.DemoApplication - Started DemoApplication in 8.197 seconds (JVM running for 16.145)
""2019-04-30 01:28:03 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[.[.[/api/wikunamu] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2019-04-30 01:28:03 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
""2019-04-30 01:28:04 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 148 ms
""2019-04-30 01:35:50 [Thread-8] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
""2019-04-30 01:35:50 [Thread-8] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2019-04-30 01:35:50 [Thread-8] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
""2019-04-30 01:35:50 [Thread-8] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
""2019-04-30 01:36:08 [restartedMain] INFO  com.example.jwt.demo.DemoApplication - Starting DemoApplication on DESKTOP-SCSK80E with PID 23608 (F:\Uziya\Wikunamu_backend\rest-api-jwt\target\classes started by Sameera in F:\Uziya\Wikunamu_backend\rest-api-jwt)
""2019-04-30 01:36:08 [restartedMain] INFO  com.example.jwt.demo.DemoApplication - No active profile set, falling back to default profiles: default
""2019-04-30 01:36:09 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2019-04-30 01:36:09 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2019-04-30 01:36:10 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
""2019-04-30 01:36:10 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 102ms. Found 2 repository interfaces.
""2019-04-30 01:36:11 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$cc010c80] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2019-04-30 01:36:11 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2019-04-30 01:36:11 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2019-04-30 01:36:11 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
""2019-04-30 01:36:11 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk-10.0.2\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\apache-maven-3.5.4-bin\apache-maven-3.5.4\bin;C:\Program Files\Java\jdk-10.0.2;C:\Program Files\nodejs\;C:\Program Files\Git\cmd;C:\Program Files\Git\mingw64\bin;C:\Program Files\Git\usr\bin;C:\Program Files (x86)\Yarn\bin\;C:\Program Files\Amazon\AWSCLI\;C:\Users\Sameera\AppData\Local\Microsoft\WindowsApps;C:\Users\Sameera\AppData\Local\Google\Cloud SDK\google-cloud-sdk\bin;C:\Users\Sameera\AppData\Roaming\npm;C:\Users\Sameera\AppData\Local\Programs\Microsoft VS Code\bin;C:\Users\Sameera\AppData\Local\Yarn\bin;C:\xampp\mysql\bin;C:\Program Files\JetBrains\WebStorm 2018.3\bin;C:\Program Files\JetBrains\IntelliJ IDEA 2018.3.2\bin;.]
""2019-04-30 01:36:11 [restartedMain] INFO  o.a.c.c.C.[.[.[/api/wikunamu] - Initializing Spring embedded WebApplicationContext
""2019-04-30 01:36:11 [restartedMain] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2671 ms
""2019-04-30 01:36:11 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2019-04-30 01:36:11 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2019-04-30 01:36:12 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2019-04-30 01:36:12 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.7.Final}
""2019-04-30 01:36:12 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
""2019-04-30 01:36:12 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
""2019-04-30 01:36:12 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
""2019-04-30 01:36:13 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2019-04-30 01:36:13 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2019-04-30 01:36:13 [restartedMain] INFO  o.h.h.i.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
""2019-04-30 01:36:13 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@44159d3c, org.springframework.security.web.context.SecurityContextPersistenceFilter@71bafafc, org.springframework.security.web.header.HeaderWriterFilter@69e351e2, com.example.jwt.demo.jwt.JwtTokenAuthenticationFilter@24459f46, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@49c441dd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@482636e1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@42d5d639, org.springframework.security.web.session.SessionManagementFilter@6b780068, org.springframework.security.web.access.ExceptionTranslationFilter@2c1da477, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5284791b]
""2019-04-30 01:36:13 [restartedMain] INFO  o.s.s.p.JdbcUserDetailsManager - No authentication manager set. Reauthentication of users when changing passwords will not be performed.
""2019-04-30 01:36:14 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2019-04-30 01:36:14 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2019-04-30 01:36:14 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/api/wikunamu'
""2019-04-30 01:36:14 [restartedMain] INFO  com.example.jwt.demo.DemoApplication - Started DemoApplication in 6.409 seconds (JVM running for 8.508)
""2019-04-30 01:36:32 [Thread-8] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
""2019-04-30 01:36:32 [Thread-8] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2019-04-30 01:36:32 [Thread-8] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
""2019-04-30 01:36:32 [Thread-8] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
""2019-04-30 01:39:29 [restartedMain] INFO  com.example.jwt.demo.DemoApplication - Starting DemoApplication on DESKTOP-SCSK80E with PID 38064 (F:\Uziya\Wikunamu_backend\rest-api-jwt\target\classes started by Sameera in F:\Uziya\Wikunamu_backend\rest-api-jwt)
""2019-04-30 01:39:30 [restartedMain] INFO  com.example.jwt.demo.DemoApplication - No active profile set, falling back to default profiles: default
""2019-04-30 01:39:30 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2019-04-30 01:39:30 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2019-04-30 01:39:30 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
""2019-04-30 01:39:30 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 50ms. Found 2 repository interfaces.
""2019-04-30 01:39:31 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$b8a6d558] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2019-04-30 01:39:31 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2019-04-30 01:39:31 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2019-04-30 01:39:31 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
